w_geo,w_link,w_ld,train_avg_pdr,train_avg_latency,train_avg_attempts,train_avg_success_rate
0.4,0.6000000000000001,0.0,0.9125,11.294516894139573,127.75,0.5641307646864141
0.4,0.4,0.2,0.8645833333333334,10.745307418944588,130.625,0.5126081304457374
0.0,0.8,0.2,0.8500000000000001,10.470243122992905,132.0,0.649226153276195
0.2,0.4,0.4,0.8458333333333333,9.850655194019533,129.625,0.5415403049482304
0.6000000000000001,0.4,0.0,0.8458333333333333,9.894158036021427,149.25,0.43340741928940185
0.0,0.2,0.8,0.8416666666666667,10.598052345938376,136.0,0.6455312584301967
0.0,0.6000000000000001,0.4,0.8375000000000001,9.746490036231883,138.75,0.6166669437118264
0.2,0.6000000000000001,0.2,0.8333333333333333,10.147660887962612,132.75,0.5416073946031653
1.0,0.0,0.0,0.83125,10.180671296296296,151.375,0.42279059300747857
0.2,0.8,0.0,0.8312499999999999,10.810254459874136,132.375,0.5729997917466783
0.0,0.4,0.6000000000000001,0.8291666666666666,10.145020170835634,139.375,0.6260677841951539
0.0,1.0,0.0,0.8166666666666667,11.577247536945814,142.0,0.5908088023931799
0.2,0.2,0.6000000000000001,0.8145833333333333,11.474729314802843,140.25,0.4807959832587979
0.8,0.0,0.2,0.8145833333333333,10.003920454545455,151.75,0.4158159462837061
0.6000000000000001,0.2,0.2,0.8125,9.990450851393188,148.25,0.42996110931195985
0.4,0.2,0.4,0.8104166666666667,10.557000975997687,148.75,0.4330875188845935
0.8,0.2,0.0,0.8041666666666667,9.201645844409002,151.0,0.41733063316193914
0.6000000000000001,0.0,0.4,0.8020833333333334,11.37906876566416,170.375,0.37080145689936633
0.2,0.0,0.8,0.78125,11.786301256613758,161.625,0.414067829956329
0.4,0.0,0.6000000000000001,0.7749999999999999,11.625850681181564,163.25,0.377256265175125
0.0,0.0,1.0,0.7479166666666667,11.247695686666276,159.75,0.40111057087373575
