w_geo,w_link,w_ld,train_avg_pdr,train_avg_latency,train_avg_attempts,train_avg_success_rate
0.2,0.8,0.0,0.7864583333333334,10.07812758407691,107.625,0.6465160787038069
0.0,0.8,0.2,0.7817708333333333,10.69328085349955,121.5625,0.651829330092415
0.0,0.6000000000000001,0.4,0.7817708333333333,10.592275027441719,122.9375,0.644133793710457
0.4,0.6000000000000001,0.0,0.7817708333333333,10.01921126390824,111.53125,0.5813960863523413
0.2,0.7000000000000001,0.1,0.7791666666666667,9.539469256707967,104.8125,0.6431189309972799
0.0,0.7000000000000001,0.30000000000000004,0.7791666666666666,10.625506710100163,122.0625,0.6478577967502823
0.0,0.9,0.1,0.7786458333333333,10.964877541561012,124.71875,0.6352808653289443
0.4,0.4,0.2,0.7739583333333333,10.236008359001147,120.9375,0.5122201776801775
0.1,0.9,0.0,0.7734375,9.867106857580037,111.6875,0.6240177794280772
0.0,1.0,0.0,0.7729166666666667,10.926103201319094,122.78125,0.635164843595926
0.2,0.6000000000000001,0.2,0.7723958333333334,9.779814807265605,109.71875,0.6068048359548526
0.1,0.5,0.4,0.7723958333333333,9.6097221330809,112.8125,0.6153282617374329
0.4,0.30000000000000004,0.30000000000000004,0.7718750000000001,10.260383696372323,124.75,0.48831991099613314
0.2,0.5,0.30000000000000004,0.7697916666666667,9.634408335943187,109.125,0.6187146197489277
0.4,0.5,0.1,0.7697916666666667,9.676871524973372,112.03125,0.5678864540178385
0.0,0.30000000000000004,0.7000000000000001,0.76875,10.687503200039632,122.96875,0.6438524959896601
0.0,0.4,0.6000000000000001,0.7661458333333333,10.503803502590035,123.4375,0.6397796298699676
0.0,0.5,0.5,0.7645833333333333,10.457337465460572,123.5,0.6376118949817743
0.0,0.1,0.9,0.7640625000000001,10.498853052440865,122.15625,0.6449040705187423
0.0,0.2,0.8,0.7635416666666668,10.449499307836296,121.1875,0.6510601446132869
0.30000000000000004,0.7000000000000001,0.0,0.7630208333333333,9.71541753195531,110.09375,0.6045713163506979
0.1,0.6000000000000001,0.30000000000000004,0.7625,9.255008427429502,112.78125,0.6115725795296727
0.1,0.8,0.1,0.7619791666666667,9.76549038793379,118.96875,0.5879447703928942
0.1,0.4,0.5,0.7614583333333333,9.979824784599359,111.5625,0.614166108630482
0.30000000000000004,0.5,0.2,0.7583333333333333,9.488566316463139,109.78125,0.5827356282639847
0.1,0.7000000000000001,0.2,0.7578125,9.45217712409566,119.625,0.5839380584841863
0.5,0.2,0.30000000000000004,0.7572916666666667,9.689607429759569,130.875,0.4437765045770374
0.5,0.5,0.0,0.7546875,9.244435967037045,116.84375,0.5081575338181304
0.30000000000000004,0.6000000000000001,0.1,0.7531249999999999,9.452195270622497,109.75,0.5921230101642418
0.5,0.1,0.4,0.7520833333333333,10.071827347730745,132.8125,0.4356253496512805
0.5,0.0,0.5,0.7520833333333333,10.322947865714653,140.65625,0.4141269957841887
0.2,0.4,0.4,0.7510416666666666,9.215867444620564,112.53125,0.5732733072443418
0.9,0.1,0.0,0.7505208333333333,10.028678153393788,134.5625,0.41774617440219425
0.1,0.30000000000000004,0.6000000000000001,0.75,9.744684633741088,114.71875,0.5930113781392954
0.5,0.4,0.1,0.7494791666666667,9.986967776836716,124.0,0.4718526612494255
0.2,0.30000000000000004,0.5,0.7463541666666667,9.602702759059502,112.3125,0.5786767856828643
0.5,0.30000000000000004,0.2,0.7432291666666667,9.724566575137088,128.28125,0.4586465998041501
0.30000000000000004,0.4,0.30000000000000004,0.7416666666666667,8.76088038060232,108.34375,0.570345694890213
0.8,0.1,0.1,0.7416666666666667,9.842310781699812,135.59375,0.42306322551571307
0.8,0.0,0.2,0.7416666666666667,9.961717043385267,134.78125,0.4188793565898328
0.6000000000000001,0.4,0.0,0.7401041666666667,9.25751190378464,127.15625,0.4549969854814788
0.6000000000000001,0.2,0.2,0.7401041666666667,9.7844999496279,128.75,0.4469692803358335
0.1,0.2,0.7000000000000001,0.7385416666666667,9.62729925349991,116.4375,0.5691645915336605
0.7000000000000001,0.2,0.1,0.7380208333333333,9.82058845242856,132.0,0.4361013591513868
0.9,0.0,0.1,0.7364583333333334,9.818275759553357,134.21875,0.4159228661116636
0.1,0.1,0.8,0.7364583333333333,10.2792520344257,126.90625,0.500170174539339
1.0,0.0,0.0,0.7359375,9.815403284805882,133.9375,0.41652855736269884
0.2,0.2,0.6000000000000001,0.7348958333333333,10.226491099744443,125.0625,0.4988587320557615
0.6000000000000001,0.1,0.30000000000000004,0.7348958333333333,9.905917373685611,133.84375,0.4289145232318339
